model_numbers,face_on_trial,word_on_trial,response_on_trial
18,bored,confused,no
19,interested,interested,yes
16,confused,confused,no
18,interested,thinking,no
5,confused,confused,yes
1,thinking,thinking,no
17,thinking,thinking,yes
15,thinking,confused,yes
1,thinking,confused,no
11,confused,confused,no
17,confused,interested,no
4,confused,interested,no
19,interested,interested,yes
12,interested,thinking,no
8,bored,interested,no
7,interested,interested,no
13,confused,confused,yes
4,interested,interested,no
12,confused,thinking,no
16,thinking,thinking,yes
12,interested,interested,no
6,confused,confused,yes
10,thinking,thinking,no
15,confused,thinking,no
13,bored,confused,no
19,thinking,bored,yes
6,bored,confused,no
14,bored,thinking,no
1,bored,bored,yes
19,confused,thinking,no
10,confused,thinking,no
16,thinking,thinking,yes
9,thinking,bored,yes
2,interested,confused,no
19,interested,interested,yes
17,thinking,interested,yes
14,thinking,thinking,yes
17,interested,confused,no
4,bored,thinking,no
4,confused,confused,no
20,interested,interested,yes
9,confused,confused,yes
15,thinking,interested,no
20,interested,bored,no
7,bored,thinking,no
5,thinking,thinking,yes
3,interested,interested,no
18,confused,bored,yes
19,bored,bored,yes
6,thinking,interested,no
3,interested,confused,no
6,bored,interested,no
18,confused,confused,yes
15,confused,thinking,yes
10,interested,interested,yes
20,thinking,interested,no
2,confused,interested,no
6,interested,bored,no
13,thinking,thinking,yes
12,interested,confused,no
12,bored,confused,no
4,confused,bored,no
6,interested,bored,no
18,bored,bored,yes
8,interested,confused,no
9,thinking,interested,no
14,bored,bored,yes
10,thinking,thinking,yes
17,bored,thinking,no
10,bored,bored,yes
7,interested,interested,yes
15,interested,interested,yes
13,interested,interested,no
13,confused,interested,no
18,confused,confused,yes
9,bored,bored,yes
14,thinking,confused,yes
5,bored,interested,no
17,bored,confused,no
18,bored,thinking,no
1,interested,thinking,yes
4,thinking,thinking,yes
16,interested,bored,no
7,interested,interested,yes
6,thinking,thinking,yes
17,thinking,confused,no
15,bored,bored,yes
11,thinking,interested,no
6,interested,confused,no
8,bored,bored,yes
15,interested,thinking,no
18,thinking,thinking,yes
11,interested,thinking,no
16,interested,interested,yes
20,bored,thinking,no
1,confused,confused,no
17,interested,interested,no
9,thinking,thinking,yes
5,interested,interested,no
3,confused,confused,yes
1,confused,confused,yes
15,thinking,thinking,no
8,confused,bored,yes
10,interested,bored,no
7,thinking,thinking,yes
11,bored,bored,yes
10,thinking,confused,no
11,confused,interested,no
16,thinking,confused,no
13,bored,thinking,yes
4,thinking,thinking,yes
12,thinking,thinking,yes
17,bored,bored,yes
1,confused,thinking,no
12,interested,interested,yes
3,interested,confused,no
5,interested,interested,yes
16,confused,bored,no
18,bored,bored,yes
5,thinking,confused,no
7,interested,bored,no
10,interested,thinking,no
5,confused,thinking,yes
11,bored,bored,yes
18,confused,bored,yes
4,bored,thinking,no
14,confused,confused,no
14,thinking,thinking,yes
2,interested,interested,yes
6,confused,bored,no
2,interested,interested,no
6,interested,interested,yes
13,interested,interested,yes
20,thinking,bored,yes
9,interested,interested,no
3,thinking,thinking,yes
2,confused,confused,yes
16,confused,thinking,no
6,confused,confused,yes
16,confused,bored,no
18,bored,confused,no
8,thinking,confused,yes
1,confused,confused,no
3,confused,interested,no
4,thinking,confused,no
20,thinking,interested,no
2,thinking,thinking,yes
11,interested,thinking,no
12,confused,confused,no
17,confused,thinking,yes
8,bored,bored,yes
12,confused,thinking,no
5,confused,confused,yes
1,bored,thinking,no
8,interested,bored,no
9,confused,interested,no
7,confused,confused,yes
8,thinking,interested,no
15,bored,thinking,no
12,bored,confused,no
15,bored,bored,yes
19,bored,confused,no
9,interested,bored,no
3,thinking,bored,yes
10,thinking,interested,no
11,bored,interested,no
10,confused,thinking,no
12,bored,confused,no
14,interested,bored,yes
16,confused,confused,yes
4,confused,confused,yes
19,bored,thinking,no
15,interested,interested,no
20,confused,confused,yes
16,bored,bored,yes
15,confused,confused,yes
10,bored,bored,yes
8,confused,confused,yes
7,confused,thinking,yes
13,interested,interested,no
2,thinking,interested,no
11,thinking,thinking,yes
17,thinking,confused,no
1,confused,interested,no
17,bored,bored,yes
18,interested,interested,yes
12,interested,thinking,no
13,thinking,thinking,yes
18,confused,confused,no
20,confused,interested,no
8,thinking,thinking,yes
1,interested,interested,yes
1,thinking,interested,no
3,thinking,interested,no
2,interested,confused,no
3,bored,interested,no
2,interested,interested,no
4,interested,thinking,no
14,bored,interested,no
5,bored,bored,yes
2,interested,bored,no
20,bored,thinking,no
15,confused,confused,no
5,thinking,bored,yes
7,confused,confused,yes
14,thinking,confused,no
16,thinking,bored,yes
13,bored,interested,no
14,confused,confused,no
4,thinking,interested,yes
11,thinking,bored,yes
5,confused,confused,yes
2,thinking,thinking,yes
4,confused,interested,no
15,bored,bored,yes
14,confused,confused,no
16,bored,bored,no
9,interested,interested,no
17,interested,thinking,no
